PR	NULL	1	0,1
RQ	SUCC	22.895423824272058	0,1
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	2	0,2
RQ	FAIL	0.0	
PR	NULL	3	0,3
RQ	SUCC	15.073961253356678	0,3
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	4	0,3,2,4
RQ	FAIL	15.073961253356678	0,3
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	5	0,5
RQ	FAIL	0.0	
PR	NULL	6	0,3,18,4,6
RQ	FAIL	15.073961253356678	0,3
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	7	0,7
RQ	SUCC	23.78872498151031	0,7
RS	SUCC	0.0	
DT	true	NULL	NULL
PR	NULL	8	0,1,5,2,4,6,8
RQ	FAIL	22.895423824272058	0,1
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	9	0,9
RQ	FAIL	0.0	
PR	NULL	10	0,3,5,2,10
RQ	FAIL	15.073961253356678	0,3
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	11	0,7,2,4,42,11
RQ	FAIL	79.89537193019476	0,7,2,4
RS	SUCC	56.10664694868446	7,2,7
DT	false	NULL	NULL
PR	NULL	12	0,7,5,2,14,17,11,12
RQ	FAIL	44.29255458131785	0,7,5
RS	SUCC	20.503829599807542	0,7
DT	false	NULL	NULL
PR	NULL	13	0,37,15,13
RQ	FAIL	0.0	
PR	NULL	14	0,7,5,22,28,10,14
RQ	FAIL	110.63426330075139	0,7,5,22,28
RS	FAIL	0.0	
RS	SUCC	50.88634339937714	7,5,7
DT	false	NULL	NULL
PR	NULL	15	0,7,19,2,10,6,8,13,15
RQ	FAIL	23.78872498151031	0,7
RS	FAIL	0.0	
PR	NULL	16	0,7,19,2,10,6,8,16
RQ	FAIL	23.78872498151031	0,7
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	17	0,7,19,2,14,17
RQ	FAIL	23.78872498151031	0,7
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	18	0,7,19,2,18
RQ	FAIL	23.78872498151031	0,7
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	19	0,7,19
RQ	FAIL	23.78872498151031	0,7
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	20	0,7,19,2,10,20
RQ	FAIL	23.78872498151031	0,7
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	21	0,7,19,2,14,17,11,12,21
RQ	FAIL	23.78872498151031	0,7
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	22	0,7,19,22
RQ	FAIL	23.78872498151031	0,7
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	23	0,7,19,2,14,17,11,12,21,23
RQ	FAIL	23.78872498151031	0,7
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	24	0,7,19,2,14,17,11,12,21,23,24
RQ	FAIL	0.0	
PR	NULL	25	0,1,7,19,28,10,6,8,25
RQ	FAIL	22.895423824272058	0,1
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	26	0,3,37,2,14,17,11,12,26
RQ	FAIL	15.073961253356678	0,3
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	27	0,1,27
RQ	FAIL	22.895423824272058	0,1
RS	FAIL	0.0	
PR	NULL	28	0,3,7,19,28
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	29	0,3,7,19,2,14,17,11,12,26,29
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	30	0,3,7,19,2,14,17,11,12,26,30
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	31	0,3,7,19,2,10,20,31
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	32	0,3,7,19,2,10,6,8,13,15,32
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	33	0,3,7,19,33
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	34	0,3,7,19,2,14,17,11,12,21,23,24,34
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	35	0,3,7,19,2,14,17,11,12,26,30,35
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	36	0,1,27,36
RQ	FAIL	22.895423824272058	0,1
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	37	0,3,7,19,2,37
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	38	0,3,7,19,2,14,17,11,12,21,23,24,38
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	39	0,3,7,19,2,14,17,11,12,26,39
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	40	0,3,7,19,2,10,20,31,40
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	41	0,41
RQ	FAIL	0.0	
PR	NULL	42	0,3,7,19,2,18,42
RQ	FAIL	72.4256778615398	0,3,7,19
RS	FAIL	0.0	
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
PR	NULL	43	0,1,27,36,43
RQ	FAIL	22.895423824272058	0,1
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	44	0,1,27,36,43,44
RQ	FAIL	22.895423824272058	0,1
RS	SUCC	0.0	
DT	false	NULL	NULL
PR	NULL	45	0,3,7,19,2,10,20,31,45
RQ	FAIL	34.010080162509006	0,3,7
RS	SUCC	18.93611890915233	0,3
DT	false	NULL	NULL
